"","Organism.name","Year","Source","Taxon","Assembly"
"ese","Escherichia coli O150:H5 SE15 (commensal)","2012","GenBank","431946","GCA_000010485.1"
"eso","Escherichia coli O104:H4 2009EL-2071","2012","GenBank","1133853","GCA_000299475.1"
"esm","Escherichia coli O104:H4 2009EL-2050","2012","GenBank","1134782","GCA_000299255.1"
"esl","Escherichia coli O104:H4 2011C-3493","2012","RefSeq","1133852","GCF_000299455.1"
"ecl","Escherichia coli ATCC 8739","2008","GenBank","481805","GCA_000019385.1"
"ebr","Escherichia coli B REL606","2009","GenBank","413997","GCA_000017985.1"
"ebd","Escherichia coli BL21-Gold(DE3)pLysS AG","2009","GenBank","866768","GCA_000023665.1"
"eko","Escherichia coli KO11FL","2012","GenBank","595495","GCA_000147855.3"
"ekf","Escherichia coli KO11FL","2012","GenBank","595495","GCA_000258025.1"
"eab","Escherichia coli ABU 83972","2012","GenBank","655817","GCA_000148365.1"
"edh","Escherichia coli DH1","2012","GenBank","536056","GCA_000023365.1"
"edj","Escherichia coli DH1","2012","GenBank","536056","GCA_000270105.1"
"eih","Escherichia coli IHE3034","2012","GenBank","714962","GCA_000025745.1"
"ena","Escherichia coli NA114 (UPEC)","2012","GenBank","1033813","GCA_000214765.3"
"elu","Escherichia coli UM146","2012","GenBank","869729","GCA_000148605.1"
"eun","Escherichia coli UMNK88","2012","GenBank","696406","GCA_000212715.2"
"elw","Escherichia coli W","2012","GenBank","566546","GCA_000184185.1"
"ell","Escherichia coli W","2012","GenBank","566546","GCA_000258145.1"
"elc","Escherichia coli clone D i14","2012","GenBank","885275","GCA_000233895.1"
"eld","Escherichia coli clone D i2","2012","GenBank","885276","GCA_000233875.1"
"elp","Escherichia coli P12b","2012","GenBank","910348","GCA_000257275.1"
"ebl","Escherichia coli BL21(DE3)","2012","GenBank","469008","GCA_000022665.2"
"ebe","Escherichia coli BL21(DE3)","2012","GenBank","469008","GCA_000009565.2"
"elf","Escherichia coli LF82","2012","GenBank","591946","GCA_000284495.1"
"ecoa","Escherichia coli APEC O78","2013","GenBank","1274814","GCA_000332755.1"
"ecol","Escherichia coli LY180","2013","GenBank","1335916","GCA_000468515.1"
"ecoi","Escherichia coli PMV-1","2013","GenBank","1382700","GCA_000493595.1"
"ecoj","Escherichia coli JJ1886","2013","GenBank","1355100","GCA_000493755.1"
"ecoo","Escherichia coli O145:H28 RM13514 (EHEC)","2014","GenBank","1248902","GCA_000520035.1"
"ecoh","Escherichia coli O145:H28 RM13516 (EHEC)","2014","GenBank","1248915","GCA_000520055.1"
"ecos","Escherichia coli O25b:K100:H4-ST131 EC958 (UPEC)","2016","GenBank","941322","GCA_000285655.3"
"efe","Escherichia fergusonii","2008","GenBank","585054","GCA_000026225.1"
"eal","Escherichia albertii","2015","GenBank","1440052","GCA_000512125.1"
"ema","Escherichia marmotae","2018","GenBank","1499973","GCA_002900365.1"
"sty","Salmonella enterica subsp. enterica serovar Typhi CT18","2001","RefSeq","220341","GCF_000195995.1"
"stt","Salmonella enterica subsp. enterica serovar Typhi Ty2","2003","GenBank","209261","GCA_000007545.1"
"sex","Salmonella enterica subsp. enterica serovar Typhi P-stx-12","2012","GenBank","1132507","GCA_000245535.1"
"sent","Salmonella enterica subsp. enterica serovar Typhi Ty21a","2013","GenBank","527001","GCA_000385905.1"
"stm","Salmonella enterica subsp. enterica serovar Typhimurium LT2","2001","RefSeq","99287","GCF_000006945.2"
"seo","Salmonella enterica subsp. enterica serovar Typhimurium 14028S","2012","GenBank","588858","GCA_000022165.1"
"sev","Salmonella enterica subsp. enterica serovar Typhimurium D23580","2012","GenBank","568708","GCA_000027025.1"
"sey","Salmonella enterica subsp. enterica serovar Typhimurium SL1344","2012","GenBank","216597","GCA_000210855.2"
"sem","Salmonella enterica subsp. enterica serovar Typhimurium T000240","2012","GenBank","718274","GCA_000283735.1"
"sej","Salmonella enterica subsp. enterica serovar Typhimurium UK-1","2012","GenBank","990282","GCA_000213635.1"
"seb","Salmonella enterica subsp. enterica serovar Typhimurium ST4/74","2012","GenBank","909946","GCA_000188735.1"
"sef","Salmonella enterica subsp. enterica serovar Typhimurium 798","2012","GenBank","1008297","GCA_000252875.1"
"setu","Salmonella enterica subsp. enterica serovar Typhimurium U288","2013","GenBank","1171376","GCA_000380325.1"
"setc","Salmonella enterica subsp. enterica serovar Typhimurium var. 5- CFSAN001921","2013","GenBank","1271862","GCA_000430145.3"
"senr","Salmonella enterica subsp. enterica serovar Typhimurium DT2","2013","GenBank","568709","GCA_000493535.2"
"send","Salmonella enterica subsp. enterica serovar Typhimurium DT104","2013","GenBank","85569","GCA_000493675.1"
"seni","Salmonella enterica subsp. enterica serovar Typhimurium 138736","2014","GenBank","90371","GCA_000636135.1"
"seen","Salmonella enterica subsp. enterica serovar 4,[5],12:i:- str. 08-1736","2013","GenBank","866913","GCA_000430165.1"
"spt","Salmonella enterica subsp. enterica serovar Paratyphi A ATCC9150","2004","GenBank","295319","GCA_000011885.1"
"sek","Salmonella enterica subsp. enterica serovar Paratyphi A AKU12601","2008","GenBank","554290","GCA_000026565.1"
"spq","Salmonella enterica subsp. enterica serovar Paratyphi B","2007","GenBank","1016998","GCA_000018705.1"
"sei","Salmonella enterica subsp. enterica serovar Paratyphi C","2009","GenBank","476213","GCA_000018385.1"
"sec","Salmonella enterica subsp. enterica serovar Choleraesuis","2005","GenBank","321314","GCA_000008105.1"
"seh","Salmonella enterica subsp. enterica serovar Heidelberg SL476","2008","GenBank","454169","GCA_000020705.1"
"shb","Salmonella enterica subsp. enterica serovar Heidelberg B182","2012","GenBank","1160717","GCA_000258365.1"
"senh","Salmonella enterica subsp. enterica Serovar Heidelberg CFSAN002069","2013","GenBank","1271864","GCA_000430085.2"
"seeh","Salmonella enterica subsp. enterica serovar Heidelberg 41578","2013","GenBank","1124936","GCA_000430105.1"
"see","Salmonella enterica subsp. enterica serovar Newport SL254","2008","GenBank","423368","GCA_000016045.1"
"senn","Salmonella enterica subsp. enterica serovar Newport USMARC-S3124.1","2013","GenBank","877468","GCA_000442415.1"
"sew","Salmonella enterica subsp. enterica serovar Schwarzengrund","2008","GenBank","439843","GCA_000020745.1"
"sea","Salmonella enterica subsp. enterica serovar Agona SL483","2008","GenBank","454166","GCA_000020885.1"
"sens","Salmonella enterica subsp. enterica serovar Agona 24249","2013","GenBank","1406860","GCA_000503845.1"
"sed","Salmonella enterica subsp. enterica serovar Dublin","2008","GenBank","439851","GCA_000020925.1"
"seg","Salmonella enterica subsp. enterica serovar Gallinarum 287/91","2008","GenBank","550538","GCA_000009525.1"
"sel","Salmonella enterica subsp. enterica serovar Gallinarum/pullorum RKS5078","2012","GenBank","1081093","GCA_000235545.1"
"sega","Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67","2013","GenBank","1225522","GCA_000462995.1"
"set","Salmonella enterica subsp. enterica serovar Enteritidis P125109","2008","GenBank","550537","GCA_000009505.1"
"sena","Salmonella enterica subsp. enterica serovar Enteritidis EC20090135","2015","GenBank","1412460","GCA_000623755.2"
"seno","Salmonella enterica subsp. enterica serovar Enteritidis EC20090193","2015","GenBank","1412459","GCA_000623775.2"
"senv","Salmonella enterica subsp. enterica serovar Enteritidis EC20090332","2015","GenBank","1412461","GCA_000623795.2"
"senq","Salmonella enterica subsp. enterica serovar Enteritidis EC20090531","2015","GenBank","1412462","GCA_000626155.2"
"senl","Salmonella enterica subsp. enterica serovar Enteritidis OLF-SE1-1019-1","2015","GenBank","149539","GCA_000750475.1"
"senj","Salmonella enterica subsp. enterica serovar Javiana","2013","GenBank","1267753","GCA_000341425.1"
"seec","Salmonella enterica subsp. enterica Serovar Cubana","2013","GenBank","1271863","GCA_000430125.1"
"seeb","Salmonella enterica subsp. enterica serovar Bareilly","2013","GenBank","1173427","GCA_000439415.1"
"seep","Salmonella enterica subsp. enterica serovar Pullorum","2013","GenBank","1298917","GCA_000444445.1"
"senb","Salmonella enterica subsp. enterica serovar Bovismorbificans","2013","GenBank","1320309","GCA_000499465.2"
"sene","Salmonella enterica subsp. enterica serovar Thompson","2013","GenBank","1064551","GCA_000473275.1"
"senc","Salmonella enterica subsp. enterica serovar Tennessee","2015","GenBank","1003191","GCA_000486405.2"
"ses","Salmonella enterica subsp. arizonae","2007","GenBank","41514","GCA_000018625.1"
"sbg","Salmonella bongori NCTC 12419","2011","GenBank","218493","GCA_000252995.1"
"sbz","Salmonella bongori N268-08","2013","GenBank","1197719","GCA_000439255.1"
"sbv","Salmonella bongori serovar 48:z41:--","2014","GenBank","1382510","GCA_000709535.1"
"sfl","Shigella flexneri 301 (serotype 2a)","2002","RefSeq","198214","GCF_000006925.2"
"sfx","Shigella flexneri 2457T (serotype 2a)","2003","GenBank","198215","GCA_000007405.1"
"sfv","Shigella flexneri 8401 (serotype 5b)","2006","GenBank","373384","GCA_000013585.1"
"sfe","Shigella flexneri 2002017 (serotype Fxv)","2012","GenBank","591020","GCA_000022245.1"
"sfn","Shigella flexneri 2003036","2014","GenBank","1282357","GCA_000743955.1"
"sfs","Shigella flexneri Shi06HN006 (serotype Yv)","2014","GenBank","1282358","GCA_000743995.1"
"sft","Shigella flexneri NCTC1","2015","GenBank","623","GCA_000953035.1"
"ssn","Shigella sonnei Ss046","2005","GenBank","300269","GCA_000092525.1"
"sbo","Shigella boydii Sb227","2005","GenBank","300268","GCA_000012025.1"
"sbc","Shigella boydii CDC 3083-94","2008","GenBank","344609","GCA_000020185.1"
"sdy","Shigella dysenteriae Sd197","2005","RefSeq","300267","GCF_000012005.1"
"sdz","Shigella dysenteriae 1617","2013","GenBank","754093","GCA_000497505.1"
"shq","Shigella sp. PAMC 28760","2016","GenBank","1813821","GCA_001596115.1"
"ent","Enterobacter sp. 638","2007","GenBank","399742","GCA_000016325.1"
"enc","Enterobacter cloacae subsp. cloacae ATCC 13047","2010","RefSeq","716541","GCF_000025565.1"
"eno","Enterobacter cloacae subsp. cloacae ENHKU01","2012","GenBank","1211025","GCA_000286275.1"
"eclo","Enterobacter cloacae subsp. cloacae NCTC 9394","2013","GenBank","718254","GCA_000210775.1"
"eec","Enterobacter cloacae EcWSU1","2012","GenBank","1045856","GCA_000239975.1"
"enl","Enterobacter cloacae subsp. dissolvens SDM","2012","GenBank","1104326","GCA_000235765.3"
"eclg","Enterobacter cloacae GGT036","2014","GenBank","550","GCA_000770155.1"
"ecle","Enterobacter cloacae ECNIH2","2014","GenBank","1333850","GCA_000724505.1"
"ecln","Enterobacter cloacae ECNIH4","2014","GenBank","550","GCA_000784865.1"
"ecli","Enterobacter cloacae ECNIH5","2015","GenBank","550","GCA_000784905.1"
"eclx","Enterobacter cloacae 34399","2015","GenBank","1296536","GCA_000814225.1"
"ecly","Enterobacter cloacae 34977","2015","GenBank","299766","GCA_000814125.3"
"eclz","Enterobacter cloacae 34983","2015","GenBank","301105","GCA_000814205.1"
"ecla","Enterobacter cloacae ECNIH3","2014","GenBank","1333851","GCA_000750225.1"
"eclc","Enterobacter cloacae ECR091","2014","GenBank","1333849","GCA_000750275.1"
"eas","Enterobacter asburiae LF7a","2011","GenBank","640513","GCA_000224675.1"
"eau","Enterobacter asburiae L1","2014","GenBank","1421338","GCA_000632395.1"
"ehm","Enterobacter hormaechei","2017","GenBank","158836","GCA_001874505.1"
"ekb","Enterobacter kobei","2017","GenBank","208224","GCA_001729765.1"
"elg","Enterobacter ludwigii","2017","GenBank","299767","GCA_001750725.1"
"exf","Enterobacter xiangfangensis","2017","GenBank","1296536","GCA_001729785.1"
"ecls","Enterobacter cloacae complex sp. 35734","2017","GenBank","1812935","GCA_000807415.4"
"enr","Enterobacter sp. R4-368","2013","GenBank","1166130","GCA_000410515.1"
"enx","Enterobacter sp. E20","2016","GenBank","1560339","GCA_000801755.2"
"enf","Enterobacter sp. FY-07","2016","GenBank","1692238","GCA_001582075.1"
"esa","Cronobacter sakazakii ATCC BAA-894","2007","GenBank","290339","GCA_000017665.1"
"csk","Cronobacter sakazakii ES15","2012","GenBank","1138308","GCA_000263215.1"
"csz","Cronobacter sakazakii Sp291","2013","GenBank","956149","GCA_000339015.1"
"csi","Cronobacter sakazakii CMCC 45402","2013","GenBank","413503","GCA_000504545.1"
"csj","Cronobacter sakazakii ATCC 29544","2015","GenBank","28141","GCA_000982825.1"
"ccon","Cronobacter condimenti","2015","GenBank","1073999","GCA_001277255.1"
"cdm","Cronobacter dublinensis","2015","GenBank","1159554","GCA_001277235.1"
"cmj","Cronobacter malonaticus","2015","GenBank","1159491","GCA_001277215.2"
"cui","Cronobacter universalis","2015","GenBank","1074000","GCA_001277175.1"
"cmw","Cronobacter muytjensii","2015","GenBank","1159613","GCA_001277195.1"
"ctu","Cronobacter turicensis","2009","GenBank","693216","GCA_000027065.2"
"kpn","Klebsiella pneumoniae subsp. pneumoniae MGH 78578","2007","GenBank","272620","GCA_000016305.1"
"kpu","Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044","2009","GenBank","484021","GCA_000009885.1"
"kpm","Klebsiella pneumoniae subsp. pneumoniae HS11286","2012","RefSeq","1125630","GCF_000240185.1"
"kpp","Klebsiella pneumoniae subsp. pneumoniae 1084","2012","GenBank","1193292","GCA_000294365.1"
"kpk","Klebsiella pneumoniae subsp. pneumoniae KP5-1","2014","GenBank","244366","GCA_000714635.1"
"kph","Klebsiella pneumoniae subsp. pneumoniae KPNIH24","2014","GenBank","1225181","GCA_000714675.1"
"kpz","Klebsiella pneumoniae subsp. pneumoniae KPNIH27","2014","GenBank","1328324","GCA_000695935.1"
"kpv","Klebsiella pneumoniae subsp. pneumoniae KPNIH29","2014","GenBank","72407","GCA_000784945.1"
"kpw","Klebsiella pneumoniae subsp. pneumoniae KPNIH30","2014","GenBank","72407","GCA_000784985.1"
"kpy","Klebsiella pneumoniae subsp. pneumoniae KPNIH31","2014","GenBank","72407","GCA_000785005.1"
"kpg","Klebsiella pneumoniae subsp. pneumoniae KPNIH32","2014","GenBank","72407","GCA_000775395.1"
"kpc","Klebsiella pneumoniae subsp. pneumoniae KPNIH10","2015","GenBank","1094170","GCA_000281435.2"
"kpq","Klebsiella pneumoniae subsp. pneumoniae KPR0928","2014","GenBank","1328325","GCA_000717515.1"
"kpt","Klebsiella pneumoniae subsp. pneumoniae ATCC 43816 KPPR1","2014","GenBank","72407","GCA_000742755.1"
"kpe","Klebsiella pneumoniae 342","2008","GenBank","507522","GCA_000019565.1"
"kpo","Klebsiella pneumoniae KCTC 2242","2012","GenBank","1049565","GCA_000220485.1"
"kpr","Klebsiella pneumoniae subsp. rhinoscleromatis SB3432","2013","GenBank","861365","GCA_000967845.1"
"kpj","Klebsiella pneumoniae JM45","2013","GenBank","1380908","GCA_000445405.1"
"kpi","Klebsiella pneumoniae CG43","2013","GenBank","1244085","GCA_000474015.1"
"kpa","Klebsiella pneumoniae 30660/NJST258_1","2014","GenBank","1420012","GCA_000598005.1"
"kps","Klebsiella pneumoniae 30684/NJST258_2","2014","GenBank","1420013","GCA_000597905.1"
"kpx","Klebsiella pneumoniae PMK1","2014","GenBank","573","GCA_000764615.1"
"kpb","Klebsiella pneumoniae blaNDM-1","2014","GenBank","573","GCA_000739495.1"
"kpne","Klebsiella pneumoniae 32192","2015","GenBank","573","GCA_000807395.3"
"kpnu","Klebsiella pneumoniae 34618","2015","GenBank","573","GCA_000814305.1"
"kpnk","Klebsiella pneumoniae Kp52.145","2018","GenBank","573","GCA_000968155.1"
"kva","Klebsiella variicola At-22","2010","GenBank","640131","GCA_000025465.1"
"kvd","Klebsiella variicola DX120E","2015","GenBank","244366","GCA_000812205.2"
"kvq","Klebsiella variicola DSM 15968","2015","GenBank","244366","GCA_000828055.2"
"kox","Klebsiella michiganensis KCTC 1686","2012","GenBank","1006551","GCA_000240325.1"
"koe","Klebsiella michiganensis E718","2012","GenBank","1191061","GCA_000276705.2"
"koy","Klebsiella michiganensis HKOPL1","2014","GenBank","1308980","GCA_000632415.1"
"kmi","Klebsiella michiganensis RC10","2015","GenBank","1134687","GCA_000963575.1"
"kok","Klebsiella oxytoca KONIH1","2014","GenBank","1333852","GCA_000714655.1"
"koc","Klebsiella oxytoca CAV1374","2016","GenBank","571","GCA_001022195.1"
"kom","Klebsiella oxytoca M1","2014","GenBank","1134687","GCA_000724525.1"
"kqu","Klebsiella quasipneumoniae","2016","GenBank","1463165","GCA_001596075.2"
"eae","Klebsiella aerogenes KCTC 2190","2011","RefSeq","1028307","GCF_000215745.1"
"ear","Klebsiella aerogenes EA1509E","2013","GenBank","935296","GCA_000334515.1"
"kqv","Klebsiella quasivariicola","2017","GenBank","2026240","GCA_002269255.1"
"cko","Citrobacter koseri","2007","GenBank","290338","GCA_000018045.1"
"cro","Citrobacter rodentium","2010","GenBank","637910","GCA_000027085.1"
"cfd","Citrobacter freundii","2014","GenBank","1333848","GCA_000648515.1"
"cbra","Citrobacter braakii","2017","GenBank","57706","GCA_002073755.2"
"cwe","Citrobacter werkmanii","2017","GenBank","67827","GCA_002386385.1"
"cama","Citrobacter amalonaticus Y19","2015","GenBank","1261127","GCA_000981805.1"
"caf","Citrobacter amalonaticus FDAARGOS_165","2017","GenBank","35703","GCA_001558935.2"
"cif","Citrobacter sp. FDAARGOS_156","2016","GenBank","1702170","GCA_001559235.2"
"cfar","Citrobacter farmeri","2017","GenBank","67824","GCA_002249995.1"
"cir","Citrobacter sp. CFNIH10","2018","GenBank","1920110","GCA_002934585.1"
"gqu","Gibbsiella quercinecans","2017","GenBank","929813","GCA_002291425.1"
"bfl","Candidatus Blochmannia floridanus (Camponotus floridanus)","2003","GenBank","203907","GCA_000043285.1"
"bpn","Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)","2005","GenBank","291272","GCA_000011745.1"
"bva","Candidatus Blochmannia vafer (Camponotus vafer)","2011","GenBank","859654","GCA_000185985.2"
"bchr","Candidatus Blochmannia chromaiodes (Camponotus chromaiodes)","2013","GenBank","1240471","GCA_000331065.1"
"ben","Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757","2015","GenBank","1505597","GCA_000973545.1"
"bed","Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675","2015","GenBank","1505596","GCA_000973505.1"
"hde","Candidatus Hamiltonella defensa (Acyrthosiphon pisum)","2009","GenBank","572265","GCA_000021705.1"
"sect","Secondary endosymbiont of Ctenarytaina eucalypti","2012","GenBank","1199245","GCA_000287335.1"
"sehc","Secondary endosymbiont of Heteropsylla cubana","2012","GenBank","134287","GCA_000287355.1"
"senm","Secondary endosymbiont of Trabutina mannipara","2016","GenBank","1835721","GCA_900090215.1"
"rip","Candidatus Riesia pediculicola","2010","GenBank","515618","GCA_000093065.1"
"rig","Candidatus Riesia sp. GBBU","2017","GenBank","1719125","GCA_002074035.1"
"men","Candidatus Moranella endobia PCIT","2011","GenBank","903503","GCA_000219175.1"
"meo","Candidatus Moranella endobia PCVAL","2013","GenBank","1234603","GCA_000364725.1"
"ebt","Shimwellia blattae","2012","GenBank","630626","GCA_000262305.1"
"ror","Raoultella ornithinolytica B6","2013","GenBank","1286170","GCA_000367425.1"
"ron","Raoultella ornithinolytica S12","2015","GenBank","54291","GCA_000829965.1"
"rpln","Raoultella planticola","2018","GenBank","575","GCA_002906195.1"
"cnt","Cedecea neteri SSMD04","2014","GenBank","158822","GCA_000757825.1"
"cem","Cedecea neteri","2014","GenBank","158822","GCA_000758305.1"
"cen","Cedecea neteri","2014","GenBank","158822","GCA_000758325.1"
"ced","Cedecea neteri","2014","GenBank","1089444","GCA_000758345.1"
"pge","Pluralibacter gergoviae","2014","GenBank","61647","GCA_000757785.1"
"esc","Enterobacter lignolyticus SCF1","2010","GenBank","701347","GCA_000164865.1"
"kle","Enterobacter lignolyticus G5","2016","GenBank","1334193","GCA_001461805.1"
"ksa","Kosakonia sacchari","2015","GenBank","1235834","GCA_000300455.4"
"kor","Kosakonia oryzae","2016","GenBank","497725","GCA_001658025.1"
"krd","Kosakonia radicincitans","2016","GenBank","283686","GCA_001887675.1"
"kco","Kosakonia cowanii","2017","GenBank","208223","GCA_001975225.1"
"kin","Kluyvera intermedia","2015","GenBank","1972431","GCA_001022135.1"
"kgo","Kluyvera georgiana","2017","GenBank","73098","GCA_002211745.1"
"icp","Candidatus Ishikawaella capsulata","2016","GenBank","476281","GCA_000828515.1"
"lax","Leclercia adecarboxylata","2016","GenBank","83655","GCA_001518835.1"
"lei","Leclercia sp. LSNIH1","2018","GenBank","1920114","GCA_002902985.1"
"leh","Leclercia sp. LSNIH3","2018","GenBank","1920116","GCA_002935105.1"
"laz","Lelliottia amnigena","2016","GenBank","61646","GCA_001652505.2"
"lef","Lelliottia jeotgali","2017","GenBank","1907578","GCA_002271215.1"
"lni","Lelliottia nimipressuralis","2018","GenBank","69220","GCA_002952735.1"
"sbw","Candidatus Tachikawaea gelatinosa","2015","GenBank","1410383","GCA_000828815.1"
"den","Candidatus Doolittlea endobia","2016","GenBank","1778262","GCA_900039485.1"
"hed","Candidatus Hoaglandella endobia","2016","GenBank","1778263","GCA_900044015.1"
"ged","Candidatus Gullanella endobia","2016","GenBank","1070130","GCA_900048035.1"
"cmik","Candidatus Mikella endobia","2016","GenBank","1778264","GCA_900048045.1"
"ebf","Enterobacteriaceae bacterium FGI 57","2013","GenBank","693444","GCA_000330845.1"
"psts","Plautia stali symbiont","2014","GenBank","891974","GCA_000180175.2"
"ype","Yersinia pestis CO92 (biovar Orientalis)","2001","RefSeq","214092","GCF_000009065.1"
"ypk","Yersinia pestis KIM10+ (biovar Mediaevalis)","2002","GenBank","187410","GCA_000006645.1"
"ypa","Yersinia pestis Antiqua (biovar Antiqua)","2006","GenBank","360102","GCA_000013825.1"
"ypn","Yersinia pestis Nepal516 (biovar Antiqua)","2006","GenBank","377628","GCA_000013805.1"
"ypm","Yersinia pestis 91001 (biovar Microtus)","2004","GenBank","229193","GCA_000007885.1"
"ypp","Yersinia pestis Pestoides F","2007","GenBank","386656","GCA_000016445.1"
"ypg","Yersinia pestis Angola","2007","GenBank","349746","GCA_000018805.1"
"ypz","Yersinia pestis Z176003","2010","GenBank","637386","GCA_000022845.1"
"ypt","Yersinia pestis A1122","2012","GenBank","1035377","GCA_000222975.1"
"ypd","Yersinia pestis D106004","2012","GenBank","637382","GCA_000022805.1"
"ypx","Yersinia pestis D182038","2012","GenBank","637385","GCA_000022825.1"
"yph","Yersinia pestis biovar Medievalis Harbin 35","2012","GenBank","547048","GCA_000186725.1"
"ypw","Yersinia pestis PBM19","2015","GenBank","632","GCA_000834235.1"
"ypj","Yersinia pestis Harbin35","2015","GenBank","632","GCA_000834275.1"
"ypv","Yersinia pestis Shasta","2015","GenBank","632","GCA_000834335.1"
"ypl","Yersinia pestis El Dorado","2015","GenBank","632","GCA_000834495.1"
"yps","Yersinia pseudotuberculosis IP 32953 (serotype I)","2004","GenBank","273123","GCA_000047365.1"
"ypo","Yersinia pseudotuberculosis IP 32953 (serotype 1)","2015","GenBank","273123","GCA_000834295.1"
"ypi","Yersinia pseudotuberculosis IP 31758 (serotype O:1b)","2007","GenBank","349747","GCA_000016945.1"
"ypy","Yersinia pseudotuberculosis YPIII","2008","GenBank","502800","GCA_000019465.1"
"ypb","Yersinia pseudotuberculosis PB1/+","2008","GenBank","502801","GCA_000020085.1"
"ypq","Yersinia pseudotuberculosis ATCC 6904","2014","GenBank","633","GCA_000750315.1"
"ypu","Yersinia pseudotuberculosis MD67","2015","GenBank","633","GCA_000834355.1"
"ypr","Yersinia pseudotuberculosis EP2/+","2015","GenBank","633","GCA_000834415.1"
"ypc","Yersinia pseudotuberculosis 1","2015","GenBank","633","GCA_000834435.1"
"ypf","Yersinia pseudotuberculosis PA3606","2015","GenBank","748672","GCA_000834945.1"
"yen","Yersinia enterocolitica subsp. enterocolitica 8081","2007","RefSeq","393305","GCF_000009345.1"
"yep","Yersinia enterocolitica subsp. palearctica 105.5R(r)","2011","GenBank","994476","GCA_000192105.1"
"yey","Yersinia enterocolitica subsp. palearctica Y11","2012","GenBank","930944","GCA_000253175.1"
"yel","Yersinia enterocolitica LC20","2014","GenBank","1443113","GCA_000597945.2"
"yew","Yersinia enterocolitica WA","2015","GenBank","630","GCA_000834195.1"
"yet","Yersinia enterocolitica 2516-87","2015","GenBank","630","GCA_000834735.1"
"yef","Yersinia enterocolitica FORC_002","2015","GenBank","630","GCA_000987925.1"
