"Organism","Body Site","Project ID","CDS Count","Contig Count","Contig Locus Min","Contig Locus Max","Contig ASM","Contig CDS","Contig PEP","Contig GBK","Scaffold Count","Scaffold Locus Min","Scaffold Locus Max","Scaffold ASM","Scaffold CDS","Scaffold PEP","Scaffold GBK"
"Clostridium perfringens WAL-14572","Gastrointestinal_tract","46397","6366","35","ADLP01000001","ADLP01000035","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.ADLP01000001-ADLP01000035.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.ADLP01000001-ADLP01000035.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.ADLP01000001-ADLP01000035.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.ADLP01000001-ADLP01000035.nuc.gbk","20","JH594533","JH594552","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.JH594533-JH594552.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.JH594533-JH594552.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.JH594533-JH594552.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/46397/46397.JH594533-JH594552.nuc.gbk"
"Pediococcus acidilactici 7_4","Gastrointestinal_tract","40051","1838","28","ACXB01000001","ACXB01000028","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.ACXB01000001-ACXB01000028.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.ACXB01000001-ACXB01000028.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.ACXB01000001-ACXB01000028.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.ACXB01000001-ACXB01000028.nuc.gbk","9","GG730083","GG730091","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.GG730083-GG730091.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.GG730083-GG730091.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.GG730083-GG730091.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40051/40051.GG730083-GG730091.nuc.gbk"
"Prevotella oulorum F0390","Oral","43117","4976","81","ADGI01000001","ADGI01000081","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43117/43117.ADGI01000001-ADGI01000081.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43117/43117.ADGI01000001-ADGI01000081.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43117/43117.ADGI01000001-ADGI01000081.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43117/43117.ADGI01000001-ADGI01000081.nuc.gbk","16","JH114215","JH114230","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43117/43117.JH114215-JH114230.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43117/43117.JH114215-JH114230.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43117/43117.JH114215-JH114230.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/43117/43117.JH114215-JH114230.nuc.gbk"
"Enterococcus faecalis TX0012","Blood","47145","5486","57","AECD01000001","AECD01000057","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47145/47145.AECD01000001-AECD01000057.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47145/47145.AECD01000001-AECD01000057.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47145/47145.AECD01000001-AECD01000057.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47145/47145.AECD01000001-AECD01000057.nuc.gbk","36","GL456473","GL456508","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47145/47145.GL456473-GL456508.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47145/47145.GL456473-GL456508.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47145/47145.GL456473-GL456508.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47145/47145.GL456473-GL456508.nuc.gbk"
"Corynebacterium matruchotii ATCC 14266","Oral","31011","2619","8","ACSH02000001","ACSH02000008","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31011/31011.ACSH02000001-ACSH02000008.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31011/31011.ACSH02000001-ACSH02000008.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31011/31011.ACSH02000001-ACSH02000008.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/31011/31011.ACSH02000001-ACSH02000008.nuc.gbk","","","","","","",""
"Coprobacillus sp. 3_3_56FAA","Gastrointestinal_tract","40019","7910","106","ACWL01000001","ACWL01000106","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.ACWL01000001-ACWL01000106.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.ACWL01000001-ACWL01000106.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.ACWL01000001-ACWL01000106.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.ACWL01000001-ACWL01000106.nuc.gbk","31","JH470424","JH470454","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.JH470424-JH470454.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.JH470424-JH470454.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.JH470424-JH470454.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40019/40019.JH470424-JH470454.nuc.gbk"
"[Clostridium] bolteae 90A5","Unknown","64845","11522","43","AGYI01000001","AGYI01000043","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64845/64845.AGYI01000001-AGYI01000043.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64845/64845.AGYI01000001-AGYI01000043.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64845/64845.AGYI01000001-AGYI01000043.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64845/64845.AGYI01000001-AGYI01000043.nuc.gbk","12","KB851183","KB851194","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64845/64845.KB851183-KB851194.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64845/64845.KB851183-KB851194.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64845/64845.KB851183-KB851194.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/64845/64845.KB851183-KB851194.nuc.gbk"
"Clostridium sp. 7_3_54FAA","Gastrointestinal_tract","40017","9986","172","ACWK01000001","ACWK01000172","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.ACWK01000001-ACWK01000172.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.ACWK01000001-ACWK01000172.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.ACWK01000001-ACWK01000172.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.ACWK01000001-ACWK01000172.nuc.gbk","51","JH376512","JH376562","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.JH376512-JH376562.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.JH376512-JH376562.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.JH376512-JH376562.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/40017/40017.JH376512-JH376562.nuc.gbk"
"Enterococcus faecalis TX1302","Gastrointestinal_tract","47181","5706","66","AEBK01000001","AEBK01000066","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.AEBK01000001-AEBK01000066.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.AEBK01000001-AEBK01000066.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.AEBK01000001-AEBK01000066.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.AEBK01000001-AEBK01000066.nuc.gbk","32","GL454527","GL454558","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.GL454527-GL454558.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.GL454527-GL454558.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.GL454527-GL454558.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/47181/47181.GL454527-GL454558.nuc.gbk"
"Lactobacillus gasseri 202-4","Urogenital_tract","36379","1773","70","ACOZ01000001","ACOZ01000070","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/36379/36379.ACOZ01000001-ACOZ01000070.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/36379/36379.ACOZ01000001-ACOZ01000070.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/36379/36379.ACOZ01000001-ACOZ01000070.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/36379/36379.ACOZ01000001-ACOZ01000070.nuc.gbk","","","","","","",""
"Lactobacillus iners UPII 60-B","Urogenital_tract","60375","1276","31","AEXK01000001","AEXK01000031","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/60375/60375.AEXK01000001-AEXK01000031.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/60375/60375.AEXK01000001-AEXK01000031.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/60375/60375.AEXK01000001-AEXK01000031.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/60375/60375.AEXK01000001-AEXK01000031.nuc.gbk","","","","","","",""
"Selenomonas sp. oral taxon 137 str. F0430","Oral","52055","2395","15","AENV01000001","AENV01000015","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52055/52055.AENV01000001-AENV01000015.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52055/52055.AENV01000001-AENV01000015.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52055/52055.AENV01000001-AENV01000015.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/52055/52055.AENV01000001-AENV01000015.nuc.gbk","","","","","","",""
"Streptococcus pyogenes GA40884","Skin","78637","1815","28","AWUA01000001","AWUA01000028","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78637/78637.AWUA01000001-AWUA01000028.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78637/78637.AWUA01000001-AWUA01000028.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78637/78637.AWUA01000001-AWUA01000028.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/78637/78637.AWUA01000001-AWUA01000028.nuc.gbk","","","","","","",""
"Collinsella intestinalis DSM 13280","Gastrointestinal_tract","29307","3568","55","ABXH02000001","ABXH02000055","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.ABXH02000001-ABXH02000055.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.ABXH02000001-ABXH02000055.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.ABXH02000001-ABXH02000055.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.ABXH02000001-ABXH02000055.nuc.gbk","3","GG692710","GG692712","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.GG692710-GG692712.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.GG692710-GG692712.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.GG692710-GG692712.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/29307/29307.GG692710-GG692712.nuc.gbk"
"Enterococcus faecalis ERV65","Unknown","81977","6404","142","ALZS01000001","ALZS01000142","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81977/81977.ALZS01000001-ALZS01000142.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81977/81977.ALZS01000001-ALZS01000142.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81977/81977.ALZS01000001-ALZS01000142.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81977/81977.ALZS01000001-ALZS01000142.nuc.gbk","103","JH805362","JH805464","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81977/81977.JH805362-JH805464.nuc.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81977/81977.JH805362-JH805464.cds.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81977/81977.JH805362-JH805464.pep.fsa","http://downloads.hmpdacc.orglocal/db/repository/ncbi/dacc_reference_genomes/20141006/81977/81977.JH805362-JH805464.nuc.gbk"
